,NAME,ID,NAME_TYPE,CLASS,MASS [kg],FALL,YEAR,LAT,LONG,COORDINATE,COUNTRY,CONTINENT
7331,Dhofar 1658,55576,Valid,LL6,3.15,Found,2011,18.3597,54.4071,"(18.35967, 54.40705)",Oman,Asia
7332,Dhofar 1659,55577,Valid,L6,3.7,Found,2011,18.36,54.4097,"(18.36002, 54.40972)",Oman,Asia
7338,Dhofar 1664,55582,Valid,H6,2.27,Found,2011,19.179,54.9327,"(19.179, 54.93267)",Oman,Asia
7339,Dhofar 1665,56380,Valid,L3,3.69,Found,2011,19.1728,54.9223,"(19.17277, 54.92233)",Oman,Asia
7343,Dhofar 167,6952,Valid,H6,3.64,Found,2000,19.0589,54.615,"(19.05889, 54.615)",Oman,Asia
7351,Dhofar 1677,56183,Valid,H5,4.39,Found,2011,19.3652,54.5157,"(19.36518, 54.51565)",Oman,Asia
7377,Dhofar 1700,56325,Valid,L6,39.0,Found,2010,18.8662,54.6797,"(18.86622, 54.67967)",Oman,Asia
7399,Dhofar 1722,56345,Valid,H5,25.0,Found,2010,19.0819,54.7147,"(19.08188, 54.71472)",Oman,Asia
7409,Dhofar 1731,56358,Valid,H5,2.22,Found,2011,18.5705,54.164,"(18.57053, 54.164)",Oman,Asia
7411,Dhofar 1733,57433,Valid,L3,7.7,Found,2011,19.1582,54.8867,"(19.15823, 54.88668)",Oman,Asia
7442,Dhofar 187,6971,Valid,L5,3.05,Found,2000,18.8597,54.4706,"(18.85972, 54.47056)",Oman,Asia
7447,Dhofar 192,6976,Valid,H4,4.78,Found,1999,18.2617,54.2433,"(18.26167, 54.24333)",Oman,Asia
7450,Dhofar 195,6979,Valid,H3-5,2.38,Found,1999,18.2633,54.2467,"(18.26333, 54.24667)",Oman,Asia
7476,Dhofar 221,7005,Valid,L5,3.54,Found,2000,18.2517,54.1983,"(18.25167, 54.19833)",Oman,Asia
7477,Dhofar 222,7006,Valid,L5,5.68,Found,2000,18.6933,54.37,"(18.69333, 54.37)",Oman,Asia
7479,Dhofar 224,7008,Valid,H4,14.97,Found,2001,19.1583,54.5733,"(19.15833, 54.57333)",Oman,Asia
7483,Dhofar 228,7012,Valid,L6,3.45,Found,2001,19.15,54.5833,"(19.15, 54.58333)",Oman,Asia
7493,Dhofar 239,7022,Valid,H4,4.95,Found,2000,18.4235,54.48,"(18.4235, 54.48)",Oman,Asia
7511,Dhofar 257,7040,Valid,H6,2.52,Found,2001,18.7467,54.3833,"(18.74667, 54.38333)",Oman,Asia
7514,Dhofar 260,7043,Valid,L6,6.57,Found,2001,18.7865,54.2505,"(18.7865, 54.2505)",Oman,Asia
7523,Dhofar 269,7052,Valid,H5,2.01,Found,2000,19.0383,54.515,"(19.03833, 54.515)",Oman,Asia
7526,Dhofar 272,7055,Valid,L5,2.07,Found,2001,18.4383,54.1183,"(18.43833, 54.11833)",Oman,Asia
7527,Dhofar 273,7056,Valid,L5,2.08,Found,2001,18.375,54.1483,"(18.375, 54.14833)",Oman,Asia
7528,Dhofar 274,7057,Valid,L6,2.48,Found,2001,18.0633,54.05,"(18.06333, 54.05)",Oman,Asia
7530,Dhofar 276,7059,Valid,H5,7.28,Found,2001,18.65,54.135,"(18.65, 54.135)",Oman,Asia
7535,Dhofar 281,7064,Valid,L3.8,4.94,Found,2001,18.575,54.2983,"(18.575, 54.29833)",Oman,Asia
7547,Dhofar 293,7076,Valid,L5,2.37,Found,2001,19.1067,54.8583,"(19.10667, 54.85833)",Oman,Asia
7548,Dhofar 294,7077,Valid,H3.9,5.99,Found,2001,18.6133,54.5,"(18.61333, 54.5)",Oman,Asia
7570,Dhofar 316,7099,Valid,L6,3.22,Found,2001,19.155,54.7867,"(19.155, 54.78667)",Oman,Asia
7571,Dhofar 317,7100,Valid,L5,2.9,Found,2001,18.5883,54.0183,"(18.58833, 54.01833)",Oman,Asia
7614,Dhofar 360,7143,Valid,LL3-6,15.3,Found,2000,19.04,54.7838,"(19.04002, 54.78383)",Oman,Asia
7618,Dhofar 365,7147,Valid,H5,4.62,Found,2000,19.0914,54.7948,"(19.09138, 54.79483)",Oman,Asia
7628,Dhofar 375,7157,Valid,LL4-6,6.93,Found,2000,19.0382,54.7942,"(19.03822, 54.79423)",Oman,Asia
7632,Dhofar 379,7161,Valid,L6,25.0,Found,2000,19.0084,54.7691,"(19.0084, 54.76913)",Oman,Asia
7646,Dhofar 393,7175,Valid,H5,5.0,Found,2001,19.1392,54.8331,"(19.13922, 54.83312)",Oman,Asia
7658,Dhofar 405,7187,Valid,H5,8.0,Found,2001,19.3023,54.5309,"(19.3023, 54.53087)",Oman,Asia
7660,Dhofar 408,7189,Valid,L6,2.36,Found,2001,18.6874,54.1265,"(18.6874, 54.12648)",Oman,Asia
7664,Dhofar 414,7193,Valid,L6,5.16,Found,2001,18.7715,54.2429,"(18.77153, 54.24288)",Oman,Asia
7683,Dhofar 435,7212,Valid,H6,6.8,Found,2001,18.8871,54.5251,"(18.8871, 54.52505)",Oman,Asia
7692,Dhofar 446,7221,Valid,L5,12.4,Found,2001,18.938,54.6866,"(18.93805, 54.68658)",Oman,Asia
7721,Dhofar 477,7238,Valid,L6,3.8,Found,2001,19.1856,54.8842,"(19.18556, 54.88417)",Oman,Asia
7722,Dhofar 478,7239,Valid,H5/6,2.68,Found,2001,19.1686,54.6167,"(19.16861, 54.61667)",Oman,Asia
7723,Dhofar 479,7240,Valid,H6,2.51,Found,2001,19.2011,54.6519,"(19.20111, 54.65194)",Oman,Asia
7731,Dhofar 487,7248,Valid,H4,3.55,Found,2001,19.1519,54.7667,"(19.15194, 54.76667)",Oman,Asia
7739,Dhofar 495,7256,Valid,H4,3.18,Found,2001,19.1583,54.575,"(19.15833, 54.575)",Oman,Asia
7788,Dhofar 544,7305,Valid,H5,2.39,Found,2001,19.3153,54.5179,"(19.31528, 54.51786)",Oman,Asia
7792,Dhofar 548,7309,Valid,H4,3.68,Found,2001,19.3492,54.5683,"(19.34917, 54.56833)",Oman,Asia
7847,Dhofar 607,7364,Valid,H5,5.0,Found,2001,18.7288,54.1905,"(18.7288, 54.19053)",Oman,Asia
7857,Dhofar 617,7374,Valid,H6,7.4,Found,2001,19.161,54.7065,"(19.161, 54.70645)",Oman,Asia
7868,Dhofar 628,7385,Valid,H5/6,2.22,Found,2001,19.106,54.8144,"(19.106, 54.81438)",Oman,Asia
7886,Dhofar 646,7403,Valid,H5/6,3.52,Found,2001,18.9942,54.1814,"(18.9942, 54.18137)",Oman,Asia
7940,Dhofar 700,7456,Valid,Diogenite,2.77,Found,2002,19.3083,54.5517,"(19.30833, 54.55167)",Oman,Asia
7942,Dhofar 702,7458,Valid,H4,2.88,Found,2002,19.165,54.7767,"(19.165, 54.77667)",Oman,Asia
7961,Dhofar 721,7477,Valid,H4,13.6,Found,2001,18.7917,54.1533,"(18.79167, 54.15333)",Oman,Asia
7975,Dhofar 745,7491,Valid,H4,3.6,Found,2000,18.8864,54.6545,"(18.88637, 54.65452)",Oman,Asia
